iter	Passed	Remaining
472	654	729
473	654	726
474	655	724
475	656	722
476	657	720
477	658	718
478	659	716
479	659	714
480	660	712
481	661	710
482	662	708
483	663	707
484	664	705
485	664	703
486	665	700
487	666	698
488	666	696
489	667	694
490	668	692
491	668	690
492	670	689
493	671	687
494	672	685
495	673	684
496	673	681
497	674	679
498	674	677
499	676	676
500	677	674
501	678	673
502	679	671
503	680	669
504	680	667
505	681	665
506	682	663
507	683	661
508	683	659
509	684	657
510	685	655
511	685	653
512	686	651
513	686	649
514	687	647
515	688	645
516	689	643
517	689	641
518	690	639
519	691	638
520	692	636
521	692	634
522	693	632
523	694	630
524	695	629
525	696	627
526	696	625
527	697	623
528	698	621
529	698	619
530	699	617
531	702	617
532	703	616
533	704	614
534	705	613
535	707	612
536	708	610
537	708	608
538	709	606
539	710	604
540	710	603
541	711	601
542	712	599
543	713	597
544	714	596
545	715	594
546	715	592
547	716	591
548	717	589
549	717	587
550	718	585
551	719	583
552	720	582
553	720	580
554	721	578
555	721	576
556	722	574
557	723	572
558	723	571
559	724	569
560	725	567
561	726	566
562	727	564
563	727	562
564	728	560
565	729	559
566	730	557
567	730	555
568	733	555
569	734	554
570	735	552
571	735	550
572	736	548
573	737	547
574	738	545
575	738	543
576	739	542
577	740	540
578	741	538
579	741	537
580	742	535
581	743	533
582	744	532
583	744	530
584	745	529
585	746	527
586	746	525
587	747	523
588	748	522
589	749	520
590	749	518
591	751	517
592	751	516
593	752	514
594	753	512
595	753	510
596	754	509
597	755	507
598	755	505
599	762	508
600	762	506
601	763	505
602	764	503
603	765	501
604	766	500
605	767	498
606	767	497
607	768	495
608	769	493
609	770	492
610	770	490
611	771	489
612	772	487
613	772	485
614	773	484
615	774	482
616	775	481
617	776	479
618	776	478
619	777	476
620	778	474
621	778	473
622	779	471
623	779	469
624	780	468
625	781	466
626	782	465
627	782	463
628	783	462
629	783	460
630	784	458
631	785	457
632	785	455
633	786	453
634	786	452
635	787	450
636	788	449
637	789	448
638	790	446
639	790	444
640	791	443
641	791	441
642	792	440
643	793	438
644	793	436
645	795	435
646	796	434
647	796	432
648	797	431
649	798	429
650	798	428
651	799	426
652	800	425
653	801	423
654	802	422
655	802	421
656	803	419
657	804	418
658	805	416
659	805	415
660	806	413
661	807	412
662	808	410
663	808	409
664	809	407
665	809	406
666	810	404
667	811	403
668	811	401
669	812	400
670	812	398
671	813	397
672	814	395
673	815	394
674	815	392
675	816	391
676	816	389
677	817	388
678	817	386
679	818	385
680	822	385
681	823	384
682	824	382
683	824	381
684	825	379
685	826	378
686	827	376
687	827	375
688	828	373
689	829	372
690	830	371
691	830	369
692	831	368
693	832	367
694	833	365
695	834	364
696	835	363
697	836	361
698	836	360
699	837	358
700	838	357
701	839	356
702	839	354
703	840	353
704	841	352
705	841	350
706	842	349
707	843	347
708	843	346
709	844	345
710	845	343
711	846	342
712	846	340
713	847	339
714	848	338
715	848	336
716	849	335
717	849	333
718	850	332
719	851	331
720	852	329
721	853	328
722	853	327
723	854	325
724	855	324
725	856	323
726	857	321
727	858	320
728	858	319
729	859	317
730	860	316
731	861	315
732	861	313
733	862	312
734	863	311
735	864	310
736	865	308
737	865	307
738	866	306
739	867	304
740	868	303
741	868	302
742	869	300
743	869	299
744	870	297
745	871	296
746	871	295
747	872	293
748	873	292
749	873	291
750	874	289
751	875	288
752	875	287
753	876	285
754	876	284
755	877	283
756	878	281
757	878	280
758	882	280
759	883	278
760	883	277
761	884	276
762	885	274
763	886	273
764	887	272
765	887	271
766	888	269
767	889	268
768	890	267
769	891	266
770	892	264
771	893	263
772	894	262
773	895	261
774	896	260
775	897	259
776	898	257
777	899	256
778	899	255
779	900	253
780	901	252
781	901	251
782	902	250
783	902	248
784	903	247
785	909	247
786	909	246
787	910	244
788	911	243
789	913	242
790	914	241
791	915	240
792	916	239
793	918	238
794	919	237
795	920	235
796	920	234
797	922	233
798	923	232
799	924	231
800	925	229
801	926	228
802	926	227
803	927	226
804	928	224
805	929	223
806	930	222
807	931	221
808	931	220
809	932	218
810	933	217
811	934	216
812	937	215
813	938	214
814	938	213
815	939	211
816	940	210
817	941	209
818	943	208
819	945	207
820	946	206
821	947	205
822	949	204
823	950	202
824	951	201
825	951	200
826	952	199
827	954	198
828	956	197
829	957	196
830	958	194
831	958	193
832	959	192
833	961	191
834	962	190
835	963	188
836	963	187
837	964	186
838	965	185
839	970	184
840	971	183
841	972	182
842	973	181
843	974	180
844	975	178
845	975	177
846	977	176
847	978	175
848	979	174
849	980	173
850	981	171
851	982	170
852	984	169
853	985	168
854	986	167
855	987	166
856	987	164
857	988	163
858	989	162
859	991	161
860	992	160
861	993	158
862	994	157
863	994	156
864	995	155
865	998	154
866	999	153
867	1000	152
868	1001	151
869	1007	150
870	1008	149
871	1009	148
872	1012	147
873	1013	146
874	1014	144
875	1015	143
876	1017	142
877	1018	141
878	1019	140
879	1019	139
880	1020	137
881	1022	136
882	1022	135
883	1023	134
884	1024	133
885	1025	131
886	1026	130
887	1026	129
888	1030	128
889	1031	127
890	1032	126
891	1033	125
892	1034	123
893	1035	122
894	1036	121
895	1038	120
896	1039	119
897	1040	118
898	1041	116
899	1042	115
900	1043	114
901	1045	113
902	1046	112
903	1047	111
904	1048	110
905	1049	108
906	1050	107
907	1051	106
908	1055	105
909	1055	104
910	1056	103
911	1057	102
912	1058	100
913	1059	99
914	1060	98
915	1061	97
916	1062	96
917	1063	95
918	1065	93
919	1066	92
920	1066	91
921	1067	90
922	1068	89
923	1069	87
924	1070	86
925	1071	85
926	1072	84
927	1072	83
928	1073	82
929	1074	80
930	1078	79
931	1080	78
932	1080	77
933	1081	76
934	1082	75
935	1087	74
936	1089	73
937	1091	72
938	1093	71
939	1094	69
940	1095	68
941	1097	67
942	1098	66
943	1099	65
944	1100	64
945	1103	62
946	1104	61
947	1105	60
948	1106	59
949	1108	58
950	1109	57
951	1109	55
952	1110	54
953	1111	53
954	1112	52
955	1113	51
956	1115	50
957	1116	48
958	1117	47
959	1119	46
960	1120	45
961	1120	44
962	1122	43
963	1124	41
964	1125	40
965	1126	39
966	1127	38
967	1128	37
968	1131	36
969	1132	35
970	1133	33
971	1135	32
972	1136	31
973	1136	30
974	1137	29
975	1138	27
976	1138	26
977	1142	25
978	1143	24
979	1144	23
980	1144	22
981	1145	20
982	1146	19
983	1148	18
984	1149	17
985	1150	16
986	1151	15
987	1152	13
988	1154	12
989	1154	11
990	1155	10
991	1156	9
992	1157	8
993	1157	6
994	1159	5
995	1160	4
996	1160	3
997	1161	2
998	1162	1
999	1162	0
